scheme_id,scheme_name,scheme_name_hindi,type,launch_year,benefit,benefit_hindi,eligibility,eligibility_hindi,description_english,description_hindi,documents_required,apply_link
1,State Agriculture Mechanization Scheme,राज्य कृषि यंत्रीकरण योजना,State (Maharashtra),2011,Subsidy on farm machinery (up to 50% for SC/ST and 40% for others),"कृषि यंत्रों पर सब्सिडी (SC/ST के लिए 50% तक, अन्य के लिए 40%)",Small and marginal farmers,छोटे और सीमांत किसान,Provides subsidies to farmers for purchasing agricultural machinery to enhance productivity. It helps reduce manual labor and promotes modern farming practices. Priority is given to women farmers and SC/ST beneficiaries.,कृषि उत्पादकता बढ़ाने के लिए किसानों को कृषि यंत्र खरीदने पर सब्सिडी प्रदान करता है। यह श्रम को कम करता है और आधुनिक खेती को बढ़ावा देता है। महिला किसानों और अनुसूचित जाति/जनजाति को प्राथमिकता दी जाती है।,Aadhaar Card|Land ownership documents|Bank passbook copy|Caste certificate (if applicable)|Passport size photo,https://mahadbt.maharashtra.gov.in/Farmer/SchemeData/SchemeData?str=E9DDFA703C38E51A147B39AD4D6A9082
2,Per Drop More Crop (Micro-irrigation Component),प्रति बूंद अधिक फसल (सूक्ष्म सिंचाई घटक),State (Maharashtra),2015,45-55% subsidy on micro-irrigation systems (Drip & Sprinkler),सूक्ष्म सिंचाई प्रणालियों पर 45-55% सब्सिडी (ड्रिप व स्प्रिंकलर),All farmers with landholding,भूमि धारक सभी किसान,Encourages farmers to adopt efficient water-saving irrigation systems. Enhances water-use efficiency and reduces input costs. Aims to improve crop yield using precise irrigation methods.,किसानों को जल-संरक्षण वाली सिंचाई प्रणालियों को अपनाने के लिए प्रोत्साहित करता है। यह जल उपयोग की दक्षता बढ़ाता है और लागत को कम करता है। सटीक सिंचाई विधियों से फसल उत्पादन में सुधार होता है।,Aadhaar Card|Land records|Irrigation layout plan|Bank details|Photograph,https://mahadbt.maharashtra.gov.in/Farmer/SchemeData/SchemeData?str=E9DDFA703C38E51AC7B56240D6D84F28
3,Chief Minister Sustainable Agriculture Irrigation Scheme,मुख्यमंत्री सतत कृषि सिंचाई योजना,State (Maharashtra),2016,"Financial assistance for constructing irrigation infrastructure (wells, pipelines)","सिंचाई अवसंरचना के लिए वित्तीय सहायता (कुएं, पाइपलाइन)",Farmers with land suitable for irrigation projects,सिंचाई परियोजनाओं के लिए उपयुक्त भूमि वाले किसान,"Supports farmers in setting up irrigation systems such as check dams, pipelines, and borewells. It aims to ensure year-round water availability and sustainable agriculture.","किसानों को चेक डैम, पाइपलाइन, बोरवेल जैसे सिंचाई सिस्टम स्थापित करने में मदद करता है। इसका उद्देश्य पूरे साल पानी की उपलब्धता और सतत कृषि को सुनिश्चित करना है।",Land documents|Aadhaar card|Bank passbook|Project estimate and layout|NOC (if applicable),https://mahadbt.maharashtra.gov.in/Farmer/SchemeData/SchemeData?str=E9DDFA703C38E51AB73A8DEE20C41691
4,Rashtriya Krishi Vikas Yojana - RAFTAAR,राष्ट्रीय कृषि विकास योजना - रफ्तार,Central,2017,"Grants for agri-startups, research, and infrastructure","कृषि स्टार्टअप्स, अनुसंधान और अवसंरचना के लिए अनुदान","Farmers, startups, SHGs, FPOs","किसान, स्टार्टअप्स, स्वयं सहायता समूह, एफपीओ","Aims to strengthen agricultural value chains and promote innovations. Provides financial support for infrastructure, marketing, and entrepreneurship in agriculture.","कृषि मूल्य श्रृंखलाओं को मजबूत करने और नवाचार को बढ़ावा देने का उद्देश्य। कृषि में अवसंरचना, विपणन और उद्यमिता के लिए वित्तीय सहायता प्रदान करता है।",Business plan/project proposal|Registration documents|Aadhaar card|Bank account details,https://mahadbt.maharashtra.gov.in/Farmer/SchemeData/SchemeData?str=E9DDFA703C38E51AB73A8DEE20C41691
5,Chhatrapati Shivaji Maharaj Krishi Sanman Yojana,छत्रपती शिवाजी महाराज कृषी सन्मान योजना,State (Maharashtra),2017,Loan waiver up to ₹1.5 lakh for defaulting farmers,बकाया फसल ऋण पर ₹1.5 लाख तक की माफी,"Farmers with outstanding crop loans as of June 30, 2017",30 जून 2017 तक बकाया फसल ऋण वाले किसान,This scheme provides one-time debt relief to distressed farmers. Helps reduce the financial burden and encourages continued agricultural activities.,यह योजना संकटग्रस्त किसानों को एक बार की ऋण राहत प्रदान करती है। यह वित्तीय बोझ को कम करती है और कृषि गतिविधियों को जारी रखने में मदद करती है।,Loan statement|Aadhaar Card|Land documents|Bank passbook|Ration card,https://mahadbt.maharashtra.gov.in
6,Goat/Sheep Rearing Scheme,बकरी/मेंढी पालन योजना,State (Maharashtra),2011,"Subsidy up to 75% for SHG women, 50% for others","एसएचजी महिलाओं के लिए 75% तक, अन्य के लिए 50% सब्सिडी","BPL families, marginal/small farmers, SHG women","बीपीएल परिवार, सीमांत/छोटे किसान, एसएचजी महिलाएं",Encourages livestock-based income through goat and sheep farming. Aims to uplift rural livelihoods and support allied agricultural activities.,बकरी और मेंढी पालन के माध्यम से पशुपालन आधारित आय को प्रोत्साहित करता है। ग्रामीण जीवनयापन को सशक्त बनाने और सहायक कृषि गतिविधियों का समर्थन करने का उद्देश्य।,BPL certificate|Aadhaar card|Bank account proof|SHG registration (if applicable)|Photograph,https://dahd.maharashtra.gov.in/en/scheme/state-level-innovative-scheme/
7,National Livestock Mission,राष्ट्रीय पशुधन मिशन,Central,2014,50% capital subsidy up to ₹25 lakh for livestock enterprises,पशुधन उद्यमों के लिए ₹25 लाख तक की 50% पूंजी सब्सिडी,"Individuals, SHGs, FPOs, cooperatives","व्यक्तिगत, स्वयं सहायता समूह, एफपीओ, सहकारी समितियां","Promotes livestock entrepreneurship with a focus on poultry, dairy, feed units, and fodder development. Provides infrastructure and marketing support.","पोल्ट्री, डेयरी, चारा विकास आदि पर ध्यान केंद्रित करते हुए पशुधन उद्यमिता को बढ़ावा देता है। अवसंरचना और विपणन समर्थन प्रदान करता है।",Business plan|Aadhaar card|Bank account details|SHG/FPO/cooperative registration,https://dahd.maharashtra.gov.in/en/scheme/national-livestock-mission/
8,Jalyukt Shivar Abhiyan,जलयुक्त शिवार अभियान,State (Maharashtra),2016,"Construction of farm ponds, check dams, and other water harvesting structures","फार्म पोंड, चेक डैम आदि जल संचयन संरचनाओं का निर्माण",Farmers in drought-prone or water-scarce regions,सूखा प्रभावित या जल-अभाव क्षेत्रों के किसान,Seeks to make villages drought-proof through decentralized water conservation techniques. Involves community participation and government funding.,विकेन्द्रीकृत जल संरक्षण तकनीकों के माध्यम से गांवों को सूखा मुक्त बनाने का प्रयास। इसमें समुदाय की भागीदारी और सरकारी वित्त पोषण शामिल है।,Aadhaar card|Land records|Village NOC|Bank account details,https://wcd.maharashtra.gov.in
9,Mahatma Jyotiba Phule Jan Arogya Yojana,महात्मा ज्योतिबा फुले जन आरोग्य योजना,State (Maharashtra),2013,Health insurance up to ₹1.5 lakh per family annually,₹1.5 लाख तक का वार्षिक स्वास्थ्य बीमा प्रति परिवार,Families with annual income up to ₹1 lakh,वार्षिक आय ₹1 लाख तक वाले परिवार,Covers hospitalization expenses for over 900 procedures. Empanels private and public hospitals across the state for free treatment.,900 से अधिक प्रक्रियाओं के लिए अस्पताल में भर्ती खर्च को कवर करता है। राज्य भर के निजी और सरकारी अस्पतालों में मुफ्त इलाज की सुविधा।,Aadhaar Card|Income certificate|Ration card|Photograph,https://www.jeevandayee.gov.in
10,Maharashtra Solar Agricultural Feeder Scheme,महाराष्ट्र सोलर कृषी फीडर योजना,State (Maharashtra),2019,Solar-powered agriculture feeders with 100% subsidy for farmers,किसानों के लिए 100% सब्सिडी पर सोलर-संचालित कृषि फीडर,Farmers in drought-prone areas with grid-connected agriculture pumps,ग्रिड-कनेक्टेड कृषि पंप वाले सूखा प्रभावित क्षेत्रों के किसान,Provides solar power to agriculture feeders during daytime to reduce electricity burden. Helps farmers get uninterrupted power supply for irrigation.,दिन के समय कृषि फीडरों को सौर ऊर्जा प्रदान कर बिजली के बोझ को कम करता है। किसानों को सिंचाई के लिए निर्बाध बिजली आपूर्ति मिलती है।,Aadhaar Card|Land records|Electricity bill copy|Bank account details,https://phed.maharashtra.gov.in
